SPEAKER,FILENAME,ONE,STARTTIMESEC,DURATIONSEC,NAN1,NAN2,SPEAKERID,NAN3,NAN4,UTTERANCE,NOTES,VIDEOID,TEXTID,TITLE,ORIGLINK,MP4LINK,TEXTLINK,SHORTLINK
SPEAKER,,1,00:27.810,11.940,<NA>,<NA>,CHI,<NA>,<NA>,"1, 2, 3, tw-, 3, 4, 5, 6, 7",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:27.810,2.490,<NA>,<NA>,FEM,<NA>,<NA>,Right. You're ready to try number 17.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:30.350,0.100,<NA>,<NA>,CHI,<NA>,<NA>,Yes,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:30.480,1.640,<NA>,<NA>,FEM,<NA>,<NA>,Can you build that?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:32.120,4.820,<NA>,<NA>,CHI,<NA>,<NA>,1,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:36.940,2.830,<NA>,<NA>,CHI,<NA>,<NA>,2,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:39.770,2.940,<NA>,<NA>,FEM,<NA>,<NA>,You're already on 17 now.,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:42.675,0.025,<NA>,<NA>,CHI,<NA>,<NA>,3,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:42.710,2.970,<NA>,<NA>,FEM,<NA>,<NA>,"Bakari, so you're ready to look.",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:45.500,0.500,<NA>,<NA>,CHI,<NA>,<NA>,"3, 5",,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
SPEAKER,,1,00:48.500,2.800,<NA>,<NA>,FEM,<NA>,<NA>,Let's look. What's in this circle right here?,,147627759,4256066,Teacher Selects Engaging Instructional Materials - Example 2,https://www.engageny.org/resource/teacher-selects-engaging-instructional-materials-example-2,https://player.vimeo.com/video/147627759?api=1&player_id=media-vimeo-147627759&color=,https://vimeo.com/texttrack/4256066.vtt?token=5ee677ca_0x3d3b1e7a4e982a59b316c2b178f51b4369a09f52,https://vimeo.com/147627759
