SPEAKER,FILENAME,ONE,STARTTIMESEC,DURATIONSEC,NAN1,NAN2,SPEAKERID,NAN3,NAN4,UTTERANCE,NOTES,VIDEOID,TEXTID,TITLE,ORIGLINK,MP4LINK,TEXTLINK,SHORTLINK
SPEAKER,,1,00:27.500,13.400,<NA>,<NA>,FEM,<NA>,<NA>,"Okay, Sam and Chris, let's see where we're at, okay? So, count your perimeter and tell me what we have so far. Count the edges for me. Who wants to count? Chris is going to count? Okay, you want to use your finger to point. Go ahead. Where are you starting?",,147643132,4256118,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/content/danielson-rubric-teacher-selects-engaging-instructional-materials,https://player.vimeo.com/video/147643132?api=1&player_id=media-vimeo-147643132&color=,https://player.vimeo.com/texttrack/4256118.vtt?token=5ee6e3ee_0xa54fada0847c626943840a18b2ab5ca187d22621,https://vimeo.com/147643132
SPEAKER,,1,00:40.900,3.100,<NA>,<NA>,CHI,<NA>,<NA>,"1, 2, 3…",,147643132,4256118,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/content/danielson-rubric-teacher-selects-engaging-instructional-materials,https://player.vimeo.com/video/147643132?api=1&player_id=media-vimeo-147643132&color=,https://player.vimeo.com/texttrack/4256118.vtt?token=5ee6e3ee_0xa54fada0847c626943840a18b2ab5ca187d22621,https://vimeo.com/147643132
SPEAKER,,1,00:44.000,6.900,<NA>,<NA>,FEM,<NA>,<NA>,"Okay, let's go in order. So if we're going to start here, we'll go this way or we'll go this way. Which way would you like to go?",,147643132,4256118,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/content/danielson-rubric-teacher-selects-engaging-instructional-materials,https://player.vimeo.com/video/147643132?api=1&player_id=media-vimeo-147643132&color=,https://player.vimeo.com/texttrack/4256118.vtt?token=5ee6e3ee_0xa54fada0847c626943840a18b2ab5ca187d22621,https://vimeo.com/147643132
SPEAKER,,1,00:50.900,0.700,<NA>,<NA>,CHI,<NA>,<NA>,"Um, this way.",,147643132,4256118,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/content/danielson-rubric-teacher-selects-engaging-instructional-materials,https://player.vimeo.com/video/147643132?api=1&player_id=media-vimeo-147643132&color=,https://player.vimeo.com/texttrack/4256118.vtt?token=5ee6e3ee_0xa54fada0847c626943840a18b2ab5ca187d22621,https://vimeo.com/147643132
SPEAKER,,1,00:51.600,1.800,<NA>,<NA>,FEM,<NA>,<NA>,"This way. Okay, go ahead.",,147643132,4256118,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/content/danielson-rubric-teacher-selects-engaging-instructional-materials,https://player.vimeo.com/video/147643132?api=1&player_id=media-vimeo-147643132&color=,https://player.vimeo.com/texttrack/4256118.vtt?token=5ee6e3ee_0xa54fada0847c626943840a18b2ab5ca187d22621,https://vimeo.com/147643132
SPEAKER,,1,00:53.400,2.900,<NA>,<NA>,CHI,<NA>,<NA>,"1, 2, 3…",,147643132,4256118,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/content/danielson-rubric-teacher-selects-engaging-instructional-materials,https://player.vimeo.com/video/147643132?api=1&player_id=media-vimeo-147643132&color=,https://player.vimeo.com/texttrack/4256118.vtt?token=5ee6e3ee_0xa54fada0847c626943840a18b2ab5ca187d22621,https://vimeo.com/147643132
SPEAKER,,1,00:56.300,2.000,<NA>,<NA>,FEM,<NA>,<NA>,"Let's go around, 4…",,147643132,4256118,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/content/danielson-rubric-teacher-selects-engaging-instructional-materials,https://player.vimeo.com/video/147643132?api=1&player_id=media-vimeo-147643132&color=,https://player.vimeo.com/texttrack/4256118.vtt?token=5ee6e3ee_0xa54fada0847c626943840a18b2ab5ca187d22621,https://vimeo.com/147643132
SPEAKER,,1,00:58.300,2.900,<NA>,<NA>,CHI,<NA>,<NA>,"5, 6, 7",,147643132,4256118,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/content/danielson-rubric-teacher-selects-engaging-instructional-materials,https://player.vimeo.com/video/147643132?api=1&player_id=media-vimeo-147643132&color=,https://player.vimeo.com/texttrack/4256118.vtt?token=5ee6e3ee_0xa54fada0847c626943840a18b2ab5ca187d22621,https://vimeo.com/147643132
SPEAKER,,1,01:01.200,3.300,<NA>,<NA>,FEM,<NA>,<NA>,"7, 8, 9…",,147643132,4256118,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/content/danielson-rubric-teacher-selects-engaging-instructional-materials,https://player.vimeo.com/video/147643132?api=1&player_id=media-vimeo-147643132&color=,https://player.vimeo.com/texttrack/4256118.vtt?token=5ee6e3ee_0xa54fada0847c626943840a18b2ab5ca187d22621,https://vimeo.com/147643132
SPEAKER,,1,01:02.00 ,2.500,<NA>,<NA>,CHI,<NA>,<NA>,"8, 9",,147643132,4256118,Teacher Selects Engaging Instructional Materials - Example 4,https://nysed-prod.engageny.org/content/danielson-rubric-teacher-selects-engaging-instructional-materials,https://player.vimeo.com/video/147643132?api=1&player_id=media-vimeo-147643132&color=,https://player.vimeo.com/texttrack/4256118.vtt?token=5ee6e3ee_0xa54fada0847c626943840a18b2ab5ca187d22621,https://vimeo.com/147643132
