12.64	13.24	0.60	0.00
52.94	54.24	0.60	0.00
55.30	57.54	1.20	0.00
68.95	69.78	0.24	0.24
73.31	74.13	0.67	0.00
81.74	82.99	0.91	0.00
118.79	119.79	0.00	0.90
119.79	120.58	0.00	0.79
126.97	127.90	0.76	0.00
163.85	164.79	0.94	0.00
197.45	198.08	0.00	0.48
198.91	199.82	0.00	0.73
210.25	213.49	0.00	3.24
239.57	240.30	0.09	0.00
241.20	241.82	0.00	0.12
264.27	265.02	0.75	0.00
265.95	266.75	0.80	0.00
271.26	272.51	1.25	0.00
276.50	280.52	1.94	0.00
295.77	296.38	0.61	0.00
303.31	304.48	1.17	0.00
314.82	316.19	1.22	0.00
318.21	321.76	2.51	0.00
325.63	326.84	0.75	0.00
327.73	328.33	0.60	0.00
328.33	329.38	0.32	0.00
331.88	332.48	0.60	0.00
336.04	337.05	0.00	1.01
337.05	338.36	0.45	0.00
338.36	339.03	0.67	0.00
340.20	341.66	0.00	1.46
361.63	363.25	0.89	0.00
366.19	366.80	0.61	0.00
372.30	372.90	0.60	0.00
373.90	375.03	0.83	0.00
375.03	376.12	0.00	1.09
378.04	378.91	0.00	0.87
379.76	380.36	0.00	0.60
385.40	386.71	0.00	1.31
386.71	388.88	0.00	2.17
409.05	409.69	0.47	0.00
447.52	448.86	1.23	0.00
449.79	451.50	1.61	0.00
452.59	453.99	0.97	0.00
457.62	459.47	1.36	0.00
461.53	462.53	1.00	0.00
462.53	463.15	0.62	0.00
466.05	468.42	1.76	0.00
471.42	473.42	1.55	0.00
481.11	483.94	1.82	0.00
493.75	498.43	2.53	0.00
