START,DUR,LABEL,DUR_TRANS,LABEL_NUM,COUNT
6.198,0.813,CHILD,0.813,1,1
7.773,0.145,CHILD,0.145,1,1
9.56,0.38,ADULT,-0.38,-1,1
10.694,0.24,CHILD,0.24,1,1
12.565,1.787,ADULT,-1.787,-1,1
16.661,0.319,CHILD,0.319,1,1
18.416,1.573,ADULT,-1.573,-1,1
21.992,0.445,ADULT,-0.445,-1,1
23.492,0.505,CHILD,0.505,1,1
25.397,0.211,ADULT,-0.211,-1,1
25.756,0.332,ADULT,-0.332,-1,1
26.07,0.165,CHILD,0.165,1,1
26.232,0.253,ADULT,-0.253,-1,1
26.492,0.181,CHILD,0.181,1,1
27.533,2.771,ADULT,-2.771,-1,1
30.795,3.556,ADULT,-3.556,-1,1
35.036,1.667,ADULT,-1.667,-1,1
37.1,1.333,CHILD,1.333,1,1
37.43,0.148,CHILD,0.148,1,1
38.003,0.263,CHILD,0.263,1,1
41.082,1.488,ADULT,-1.488,-1,1
43.975,1.517,ADULT,-1.517,-1,1
45.814,0.678,CHILD,0.678,1,1
46.349,4.053,ADULT,-4.053,-1,1
50.676,1.834,ADULT,-1.834,-1,1
53.011,1.502,ADULT,-1.502,-1,1
56.638,1.061,ADULT,-1.061,-1,1
58.2,1.185,CHILD,1.185,1,1
58.264,1.046,CHILD,1.046,1,1
58.372,0.12,ADULT,-0.12,-1,1
59.513,2.811,ADULT,-2.811,-1,1
61.992,1.552,CHILD,1.552,1,1
62.689,0.113,CHILD,0.113,1,1
62.993,0.213,CHILD,0.213,1,1
