START,DUR,LABEL,DUR_TRANS,LABEL_NUM,COUNT
6.198,0.813,CHILD,0.813,1,1
7.781,0.137,CHILD,0.137,1,1
9.575,0.363,ADULT,-0.363,-1,1
10.692,0.243,CHILD,0.243,1,1
12.558,1.787,ADULT,-1.787,-1,1
16.661,0.319,CHILD,0.319,1,1
18.414,1.576,ADULT,-1.576,-1,1
21.992,0.439,ADULT,-0.439,-1,1
23.492,0.506,CHILD,0.506,1,1
25.397,0.243,ADULT,-0.243,-1,1
25.753,0.295,ADULT,-0.295,-1,1
26.011,0.741,CHILD,0.741,1,1
27.213,3.866,ADULT,-3.866,-1,1
29.214,0.608,ADULT,-0.608,-1,1
30.365,0.262,ADULT,-0.262,-1,1
30.993,0.996,ADULT,-0.996,-1,1
31.688,3.471,ADULT,-3.471,-1,1
34.032,0.979,ADULT,-0.979,-1,1
35.365,4.254,ADULT,-4.254,-1,1
39.012,2.978,ADULT,-2.978,-1,1
41.011,3.22,ADULT,-3.22,-1,1
43.511,2.909,ADULT,-2.909,-1,1
45.752,3.741,ADULT,-3.741,-1,1
47.513,6.875,ADULT,-6.875,-1,1
52.351,0.14,ADULT,-0.14,-1,1
53.99,0.521,ADULT,-0.521,-1,1
54.64,0.29,ADULT,-0.29,-1,1
55.207,1.804,ADULT,-1.804,-1,1
57.154,0.579,ADULT,-0.579,-1,1
57.188,1.436,CHILD,1.436,1,1
58.064,3.944,ADULT,-3.944,-1,1
61.825,2.167,ADULT,-2.167,-1,1
63.788,1.927,ADULT,-1.927,-1,1
65.597,1.318,ADULT,-1.318,-1,1
66.731,5.081,ADULT,-5.081,-1,1
69.685,0.825,CHILD,0.825,1,1
72.06,13.433,ADULT,-13.433,-1,1
72.102,0.521,CHILD,0.521,1,1
72.777,0.202,CHILD,0.202,1,1
73.121,0.103,ADULT,-0.103,-1,1
73.675,0.609,ADULT,-0.609,-1,1
77.51,2.536,CHILD,2.536,1,1
81.992,0.167,CHILD,0.167,1,1
87.024,4.067,ADULT,-4.067,-1,1
91.905,5.606,ADULT,-5.606,-1,1
93.673,0.177,CHILD,0.177,1,1
93.817,0.187,CHILD,0.187,1,1
97.651,0.341,ADULT,-0.341,-1,1
98.386,7.943,ADULT,-7.943,-1,1
100.649,1.343,CHILD,1.343,1,1
103.547,0.265,CHILD,0.265,1,1
105.425,1.838,ADULT,-1.838,-1,1
107.011,4.691,ADULT,-4.691,-1,1
109.225,0.127,CHILD,0.127,1,1
111.804,0.175,ADULT,-0.175,-1,1
112.553,0.987,ADULT,-0.987,-1,1
113.864,3.628,ADULT,-3.628,-1,1
117.492,0.251,ADULT,-0.251,-1,1
118.262,0.233,CHILD,0.233,1,1
118.493,10.518,ADULT,-10.518,-1,1
130.964,3.529,ADULT,-3.529,-1,1
131.492,1.266,ADULT,-1.266,-1,1
133.993,1.163,CHILD,1.163,1,1
134.585,5.147,CHILD,5.147,1,1
135.11,0.402,ADULT,-0.402,-1,1
135.29,0.418,CHILD,0.418,1,1
135.663,1.367,ADULT,-1.367,-1,1
137.639,0.371,ADULT,-0.371,-1,1
138.579,10.832,ADULT,-10.832,-1,1
149.712,1.191,ADULT,-1.191,-1,1
149.837,0.348,ADULT,-0.348,-1,1
150.328,0.192,ADULT,-0.192,-1,1
